country,country_code,year,gini
Ecuador,ECU,2003.0,53.5
Spain,ESP,2003.0,31.8
Estonia,EST,2003.0,37.2
Finland,FIN,2003.0,27.7
France,FRA,2003.0,31.4
United Kingdom,GBR,2003.0,34.9
Georgia,GEO,2003.0,36.6
"Gambia, The",GMB,2003.0,47.3
Greece,GRC,2003.0,32.8
Honduras,HND,2003.0,58.1
Hungary,HUN,2003.0,30.9
Indonesia,IDN,2003.0,29.3
Ireland,IRL,2003.0,32.9
Iceland,ISL,2003.0,26.8
Israel,ISR,2003.0,40.7
Italy,ITA,2003.0,34.9
Kazakhstan,KAZ,2003.0,33.7
Kyrgyz Republic,KGZ,2003.0,28.7
Lithuania,LTU,2003.0,35.5
Luxembourg,LUX,2003.0,30.2
Latvia,LVA,2003.0,36.5
Moldova,MDA,2003.0,34.9
North Macedonia,MKD,2003.0,38.7
Malaysia,MYS,2003.0,46.4
Namibia,NAM,2003.0,63.3
Nigeria,NGA,2003.0,40.1
Norway,NOR,2003.0,27.6
Nepal,NPL,2003.0,43.8
Panama,PAN,2003.0,55.6
Peru,PER,2003.0,53.1
Philippines,PHL,2003.0,46.6
Poland,POL,2003.0,34.9
Portugal,PRT,2003.0,38.8
Paraguay,PRY,2003.0,54.9
Romania,ROU,2003.0,29.9
Russian Federation,RUS,2003.0,40.0
Sierra Leone,SLE,2003.0,40.2
El Salvador,SLV,2003.0,50.4
Serbia,SRB,2003.0,32.8
Slovenia,SVN,2003.0,30.9
Sweden,SWE,2003.0,25.3
Syrian Arab Republic,SYR,2003.0,37.5
Chad,TCD,2003.0,39.8
Tajikistan,TJK,2003.0,32.7
Turkiye,TUR,2003.0,42.2
Ukraine,UKR,2003.0,28.7
Uruguay,URY,2003.0,45.0
United States,USA,2003.0,40.8
Uzbekistan,UZB,2003.0,35.2
"Venezuela, RB",VEN,2003.0,47.9
Kosovo,XKX,2003.0,29.0
Argentina,ARG,2004.0,48.5
Armenia,ARM,2004.0,37.5
Australia,AUS,2004.0,33.1
Austria,AUT,2004.0,29.8
Azerbaijan,AZE,2004.0,26.6
Belgium,BEL,2004.0,30.5
Bosnia and Herzegovina,BIH,2004.0,34.0
Belarus,BLR,2004.0,26.5
Bolivia,BOL,2004.0,55.0
Brazil,BRA,2004.0,56.5
Canada,CAN,2004.0,33.8
Switzerland,CHE,2004.0,31.6
"Congo, Dem. Rep.",COD,2004.0,41.6
Colombia,COL,2004.0,55.0
Comoros,COM,2004.0,55.9
Costa Rica,CRI,2004.0,48.4
Cyprus,CYP,2004.0,30.1
Czechia,CZE,2004.0,27.5
Germany,DEU,2004.0,30.2
Denmark,DNK,2004.0,24.9
Dominican Republic,DOM,2004.0,52.1
Ecuador,ECU,2004.0,53.9
"Egypt, Arab Rep.",EGY,2004.0,31.8
Spain,ESP,2004.0,33.3
Estonia,EST,2004.0,33.6
Ethiopia,ETH,2004.0,29.8
Finland,FIN,2004.0,27.9
France,FRA,2004.0,30.6
United Kingdom,GBR,2004.0,34.8
Georgia,GEO,2004.0,36.2
Greece,GRC,2004.0,33.6
Honduras,HND,2004.0,58.1
Croatia,HRV,2004.0,29.7
Hungary,HUN,2004.0,29.9
Indonesia,IDN,2004.0,30.4
India,IND,2004.0,27.7
Ireland,IRL,2004.0,33.6
Iceland,ISL,2004.0,28.0
Israel,ISR,2004.0,41.5
Italy,ITA,2004.0,34.3
Jamaica,JAM,2004.0,45.5
Kazakhstan,KAZ,2004.0,31.8
Kyrgyz Republic,KGZ,2004.0,34.8
Lithuania,LTU,2004.0,37.0
Luxembourg,LUX,2004.0,30.2
Latvia,LVA,2004.0,36.4
Moldova,MDA,2004.0,35.0
Mexico,MEX,2004.0,50.3
North Macedonia,MKD,2004.0,38.4
Mauritania,MRT,2004.0,40.2
Malawi,MWI,2004.0,39.9
Netherlands,NLD,2004.0,29.8
Norway,NOR,2004.0,31.6
Pakistan,PAK,2004.0,30.9
Panama,PAN,2004.0,54.8
Peru,PER,2004.0,49.9
Poland,POL,2004.0,38.0
Portugal,PRT,2004.0,38.9
Paraguay,PRY,2004.0,52.3
West Bank and Gaza,PSE,2004.0,34.0
Romania,ROU,2004.0,30.0
Russian Federation,RUS,2004.0,40.3
El Salvador,SLV,2004.0,47.8
Serbia,SRB,2004.0,35.5
Slovak Republic,SVK,2004.0,27.1
Slovenia,SVN,2004.0,24.8
Sweden,SWE,2004.0,26.1
Thailand,THA,2004.0,42.5
Tajikistan,TJK,2004.0,33.6
Turkiye,TUR,2004.0,41.3
Ukraine,UKR,2004.0,28.9
Uruguay,URY,2004.0,45.9
United States,USA,2004.0,40.5
"Venezuela, RB",VEN,2004.0,47.3
Viet Nam,VNM,2004.0,36.8
Zambia,ZMB,2004.0,54.3
Albania,ALB,2005.0,30.6
Argentina,ARG,2005.0,47.8
Armenia,ARM,2005.0,36.0
Austria,AUT,2005.0,28.7
Azerbaijan,AZE,2005.0,26.6
Belgium,BEL,2005.0,29.3
Bangladesh,BGD,2005.0,33.2
Belarus,BLR,2005.0,27.6
Bolivia,BOL,2005.0,58.5
Brazil,BRA,2005.0,56.3
Canada,CAN,2005.0,33.6
China,CHN,2005.0,40.9
"Congo, Rep.",COG,2005.0,47.3
Colombia,COL,2005.0,53.9
Costa Rica,CRI,2005.0,47.5
Cyprus,CYP,2005.0,30.3
Czechia,CZE,2005.0,26.9
Germany,DEU,2005.0,31.7
Denmark,DNK,2005.0,25.2
Dominican Republic,DOM,2005.0,50.0
Ecuador,ECU,2005.0,53.1
Spain,ESP,2005.0,32.4
Estonia,EST,2005.0,33.4
Finland,FIN,2005.0,27.6
France,FRA,2005.0,29.8
"Micronesia, Fed. Sts.",FSM,2005.0,42.4
Gabon,GAB,2005.0,42.2
United Kingdom,GBR,2005.0,35.5
Georgia,GEO,2005.0,37.4
Ghana,GHA,2005.0,42.8
Greece,GRC,2005.0,34.6
Honduras,HND,2005.0,59.5
Hungary,HUN,2005.0,34.7
Indonesia,IDN,2005.0,29.9
Ireland,IRL,2005.0,33.8
"Iran, Islamic Rep.",IRN,2005.0,43.6
Iceland,ISL,2005.0,29.0
Israel,ISR,2005.0,42.3
Italy,ITA,2005.0,33.8
Kazakhstan,KAZ,2005.0,39.8
Kenya,KEN,2005.0,46.4
Kyrgyz Republic,KGZ,2005.0,32.6
Lithuania,LTU,2005.0,35.3
Luxembourg,LUX,2005.0,30.8
Latvia,LVA,2005.0,39.0
Moldova,MDA,2005.0,36.3
Madagascar,MDG,2005.0,39.9
Mexico,MEX,2005.0,50.9
North Macedonia,MKD,2005.0,39.3
Montenegro,MNE,2005.0,30.2
Niger,NER,2005.0,44.4
Nicaragua,NIC,2005.0,48.8
Netherlands,NLD,2005.0,29.0
Norway,NOR,2005.0,30.6
Pakistan,PAK,2005.0,31.3
Panama,PAN,2005.0,53.8
Peru,PER,2005.0,50.4
Poland,POL,2005.0,35.8
Portugal,PRT,2005.0,38.5
Paraguay,PRY,2005.0,51.4
West Bank and Gaza,PSE,2005.0,34.7
Romania,ROU,2005.0,29.8
Russian Federation,RUS,2005.0,41.3
Rwanda,RWA,2005.0,52.0
Senegal,SEN,2005.0,39.2
Solomon Islands,SLB,2005.0,46.1
El Salvador,SLV,2005.0,48.5
Serbia,SRB,2005.0,36.5
Slovak Republic,SVK,2005.0,29.3
Slovenia,SVN,2005.0,24.6
Sweden,SWE,2005.0,26.8
Tunisia,TUN,2005.0,37.7
Turkiye,TUR,2005.0,42.6
Uganda,UGA,2005.0,42.9
Ukraine,UKR,2005.0,29.0
Uruguay,URY,2005.0,44.7
United States,USA,2005.0,41.3
"Venezuela, RB",VEN,2005.0,49.3
Kosovo,XKX,2005.0,31.2
"Yemen, Rep.",YEM,2005.0,34.7
South Africa,ZAF,2005.0,64.8
Argentina,ARG,2006.0,46.4
Armenia,ARM,2006.0,29.7
Austria,AUT,2006.0,29.6
Burundi,BDI,2006.0,33.4
Belgium,BEL,2006.0,28.1
Bulgaria,BGR,2006.0,35.7
Belarus,BLR,2006.0,28.3
Bolivia,BOL,2006.0,56.7
Brazil,BRA,2006.0,55.6
Canada,CAN,2006.0,34.1
Switzerland,CHE,2006.0,33.9
Chile,CHL,2006.0,47.7
Costa Rica,CRI,2006.0,49.3
Cyprus,CYP,2006.0,31.1
Czechia,CZE,2006.0,26.7
Germany,DEU,2006.0,31.0
Denmark,DNK,2006.0,25.9
Dominican Republic,DOM,2006.0,52.0
Ecuador,ECU,2006.0,52.3
Spain,ESP,2006.0,33.5
Estonia,EST,2006.0,33.7
Finland,FIN,2006.0,28.0
France,FRA,2006.0,29.7
United Kingdom,GBR,2006.0,35.9
Georgia,GEO,2006.0,36.9
Greece,GRC,2006.0,35.1
Guatemala,GTM,2006.0,54.5
Honduras,HND,2006.0,57.5
Hungary,HUN,2006.0,28.3
Indonesia,IDN,2006.0,31.5
Ireland,IRL,2006.0,32.7
"Iran, Islamic Rep.",IRN,2006.0,44.8
Iraq,IRQ,2006.0,28.6
Iceland,ISL,2006.0,30.2
Israel,ISR,2006.0,41.6
Italy,ITA,2006.0,33.7
Jordan,JOR,2006.0,33.9
Kazakhstan,KAZ,2006.0,30.2
Kyrgyz Republic,KGZ,2006.0,37.4
Kiribati,KIR,2006.0,37.0
"Korea, Rep.",KOR,2006.0,31.7
Sri Lanka,LKA,2006.0,39.7
Lithuania,LTU,2006.0,34.4
Luxembourg,LUX,2006.0,30.9
Latvia,LVA,2006.0,35.6
Morocco,MAR,2006.0,40.7
Moldova,MDA,2006.0,35.4
Mexico,MEX,2006.0,49.7
North Macedonia,MKD,2006.0,42.6
Mali,MLI,2006.0,38.9
Malta,MLT,2006.0,28.0
Montenegro,MNE,2006.0,30.0
Mauritius,MUS,2006.0,35.7
Malaysia,MYS,2006.0,44.8
Netherlands,NLD,2006.0,30.0
Norway,NOR,2006.0,26.4
Panama,PAN,2006.0,54.6
Peru,PER,2006.0,50.3
Philippines,PHL,2006.0,47.2
Poland,POL,2006.0,34.7
Portugal,PRT,2006.0,38.1
Paraguay,PRY,2006.0,53.0
West Bank and Gaza,PSE,2006.0,34.0
Romania,ROU,2006.0,39.6
Russian Federation,RUS,2006.0,41.0
El Salvador,SLV,2006.0,45.7
Serbia,SRB,2006.0,29.7
Slovak Republic,SVK,2006.0,25.8
Slovenia,SVN,2006.0,24.4
Sweden,SWE,2006.0,26.4
Seychelles,SYC,2006.0,42.8
Syrian Arab Republic,SYR,2006.0,40.1
Togo,TGO,2006.0,42.2
Thailand,THA,2006.0,41.8
Turkiye,TUR,2006.0,39.6
Ukraine,UKR,2006.0,29.8
Uruguay,URY,2006.0,45.9
United States,USA,2006.0,41.7
"Venezuela, RB",VEN,2006.0,44.7
Viet Nam,VNM,2006.0,35.8
Kosovo,XKX,2006.0,30.3
Zambia,ZMB,2006.0,54.6
Argentina,ARG,2007.0,46.3
Armenia,ARM,2007.0,31.2
Austria,AUT,2007.0,30.6
Belgium,BEL,2007.0,29.2
Bulgaria,BGR,2007.0,36.1
Bosnia and Herzegovina,BIH,2007.0,33.1
Belarus,BLR,2007.0,29.6
Bolivia,BOL,2007.0,54.5
Brazil,BRA,2007.0,54.9
Bhutan,BTN,2007.0,38.1
Canada,CAN,2007.0,33.8
Switzerland,CHE,2007.0,34.3
Cameroon,CMR,2007.0,42.8
Cabo Verde,CPV,2007.0,47.2
Costa Rica,CRI,2007.0,49.3
Cyprus,CYP,2007.0,31.1
Czechia,CZE,2007.0,26.0
Germany,DEU,2007.0,31.2
Denmark,DNK,2007.0,26.2
Dominican Republic,DOM,2007.0,48.9
Ecuador,ECU,2007.0,53.4
Spain,ESP,2007.0,34.1
Estonia,EST,2007.0,31.2
Finland,FIN,2007.0,28.3
France,FRA,2007.0,32.4
United Kingdom,GBR,2007.0,34.4
Georgia,GEO,2007.0,38.1
Guinea,GIN,2007.0,39.4
Greece,GRC,2007.0,34.0
Honduras,HND,2007.0,55.8
Hungary,HUN,2007.0,27.9
Indonesia,IDN,2007.0,33.2
Ireland,IRL,2007.0,31.9
Iceland,ISL,2007.0,29.5
Israel,ISR,2007.0,41.1
Italy,ITA,2007.0,32.9
Kazakhstan,KAZ,2007.0,30.1
Kyrgyz Republic,KGZ,2007.0,33.9
Lao PDR,LAO,2007.0,35.4
Liberia,LBR,2007.0,36.4
Lithuania,LTU,2007.0,34.8
Luxembourg,LUX,2007.0,31.1
Latvia,LVA,2007.0,37.5
Moldova,MDA,2007.0,34.4
Malta,MLT,2007.0,29.2
Montenegro,MNE,2007.0,31.4
Mongolia,MNG,2007.0,35.8
Niger,NER,2007.0,37.3
Netherlands,NLD,2007.0,29.6
Norway,NOR,2007.0,27.1
Pakistan,PAK,2007.0,29.7
Panama,PAN,2007.0,52.7
Peru,PER,2007.0,50.0
Poland,POL,2007.0,34.0
Portugal,PRT,2007.0,36.8
Paraguay,PRY,2007.0,53.0
West Bank and Gaza,PSE,2007.0,35.6
Romania,ROU,2007.0,37.5
Russian Federation,RUS,2007.0,42.3
El Salvador,SLV,2007.0,45.2
Serbia,SRB,2007.0,28.7
Slovak Republic,SVK,2007.0,24.7
Slovenia,SVN,2007.0,24.4
Sweden,SWE,2007.0,27.1
Thailand,THA,2007.0,39.8
Tajikistan,TJK,2007.0,32.2
Timor-Leste,TLS,2007.0,27.8
Turkiye,TUR,2007.0,38.4
Tanzania,TZA,2007.0,40.3
Ukraine,UKR,2007.0,27.0
Uruguay,URY,2007.0,46.4
United States,USA,2007.0,41.1
Angola,AGO,2008.0,42.7
Albania,ALB,2008.0,30.0
Argentina,ARG,2008.0,45.0
Armenia,ARM,2008.0,29.2
Australia,AUS,2008.0,35.4
Austria,AUT,2008.0,30.4
Belgium,BEL,2008.0,28.4
Bulgaria,BGR,2008.0,33.6
Belarus,BLR,2008.0,27.8
Bolivia,BOL,2008.0,50.8
Brazil,BRA,2008.0,54.0
Central African Republic,CAF,2008.0,56.2
Canada,CAN,2008.0,33.9
Switzerland,CHE,2008.0,33.8
China,CHN,2008.0,43.0
Cote d'Ivoire,CIV,2008.0,43.2
Colombia,COL,2008.0,55.3
Costa Rica,CRI,2008.0,48.6
Cyprus,CYP,2008.0,31.7
Czechia,CZE,2008.0,26.3
Germany,DEU,2008.0,30.8
Denmark,DNK,2008.0,25.2
Dominican Republic,DOM,2008.0,48.1
Ecuador,ECU,2008.0,49.8
"Egypt, Arab Rep.",EGY,2008.0,31.1
Spain,ESP,2008.0,34.2
Estonia,EST,2008.0,31.9
Finland,FIN,2008.0,27.8
Fiji,FJI,2008.0,40.4
France,FRA,2008.0,33.0
United Kingdom,GBR,2008.0,35.4
Georgia,GEO,2008.0,38.5
Greece,GRC,2008.0,33.6
Honduras,HND,2008.0,55.5
Croatia,HRV,2008.0,33.7
Hungary,HUN,2008.0,27.5
Indonesia,IDN,2008.0,32.6
Ireland,IRL,2008.0,30.9
Iceland,ISL,2008.0,31.8
Israel,ISR,2008.0,41.6
Italy,ITA,2008.0,33.8
Jordan,JOR,2008.0,32.6
Japan,JPN,2008.0,34.6
Kazakhstan,KAZ,2008.0,28.5
Kyrgyz Republic,KGZ,2008.0,31.5
"Korea, Rep.",KOR,2008.0,32.3
Lithuania,LTU,2008.0,35.7
Luxembourg,LUX,2008.0,32.6
Latvia,LVA,2008.0,37.2
Moldova,MDA,2008.0,34.7
Mexico,MEX,2008.0,50.8
North Macedonia,MKD,2008.0,46.1
Malta,MLT,2008.0,29.0
Montenegro,MNE,2008.0,30.5
Mozambique,MOZ,2008.0,45.5
Mauritania,MRT,2008.0,35.7
Malaysia,MYS,2008.0,45.5
Netherlands,NLD,2008.0,29.3
Norway,NOR,2008.0,27.0
Panama,PAN,2008.0,52.7
Peru,PER,2008.0,47.5
Poland,POL,2008.0,33.5
Portugal,PRT,2008.0,36.6
Paraguay,PRY,2008.0,50.7
Romania,ROU,2008.0,36.4
Russian Federation,RUS,2008.0,41.6
El Salvador,SLV,2008.0,46.9
Serbia,SRB,2008.0,27.6
Slovak Republic,SVK,2008.0,26.0
Slovenia,SVN,2008.0,23.7
Sweden,SWE,2008.0,28.1
Thailand,THA,2008.0,40.3
Turkiye,TUR,2008.0,39.0
Ukraine,UKR,2008.0,26.6
Uruguay,URY,2008.0,45.1
United States,USA,2008.0,41.1
Viet Nam,VNM,2008.0,35.6
Samoa,WSM,2008.0,42.0
South Africa,ZAF,2008.0,63.0
Argentina,ARG,2009.0,43.8
Armenia,ARM,2009.0,28.0
Austria,AUT,2009.0,31.5
Belgium,BEL,2009.0,28.6
Burkina Faso,BFA,2009.0,39.8
Bulgaria,BGR,2009.0,33.8
Belarus,BLR,2009.0,27.7
Bolivia,BOL,2009.0,49.2
Brazil,BRA,2009.0,53.7
Botswana,BWA,2009.0,56.9
Canada,CAN,2009.0,34.0
Switzerland,CHE,2009.0,32.9
Chile,CHL,2009.0,47.4
Colombia,COL,2009.0,54.3
Costa Rica,CRI,2009.0,50.6
Cyprus,CYP,2009.0,32.1
Czechia,CZE,2009.0,26.2
Germany,DEU,2009.0,30.5
Denmark,DNK,2009.0,26.7
Dominican Republic,DOM,2009.0,48.9
Ecuador,ECU,2009.0,48.5
Spain,ESP,2009.0,34.9
Estonia,EST,2009.0,31.4
Finland,FIN,2009.0,27.5
France,FRA,2009.0,32.7
United Kingdom,GBR,2009.0,35.1
Georgia,GEO,2009.0,38.2
Greece,GRC,2009.0,33.6
Honduras,HND,2009.0,51.3
Croatia,HRV,2009.0,32.6
Hungary,HUN,2009.0,27.0
Indonesia,IDN,2009.0,33.4
India,IND,2009.0,27.8
Ireland,IRL,2009.0,32.7
"Iran, Islamic Rep.",IRN,2009.0,42.1
Iceland,ISL,2009.0,28.7
Israel,ISR,2009.0,42.6
Italy,ITA,2009.0,33.8
Japan,JPN,2009.0,33.0
Kazakhstan,KAZ,2009.0,28.2
Kyrgyz Republic,KGZ,2009.0,29.9
Sri Lanka,LKA,2009.0,36.1
Lithuania,LTU,2009.0,37.2
Luxembourg,LUX,2009.0,31.2
Latvia,LVA,2009.0,35.9
Moldova,MDA,2009.0,32.9
Maldives,MDV,2009.0,38.4
North Macedonia,MKD,2009.0,42.8
Mali,MLI,2009.0,33.0
Malta,MLT,2009.0,30.2
Montenegro,MNE,2009.0,31.0
Namibia,NAM,2009.0,61.0
Nicaragua,NIC,2009.0,43.9
Netherlands,NLD,2009.0,27.9
Norway,NOR,2009.0,26.2
Panama,PAN,2009.0,51.8
Peru,PER,2009.0,47.0
Philippines,PHL,2009.0,46.3
Papua New Guinea,PNG,2009.0,41.9
Poland,POL,2009.0,33.4
Portugal,PRT,2009.0,34.9
Paraguay,PRY,2009.0,49.1
West Bank and Gaza,PSE,2009.0,34.5
Romania,ROU,2009.0,35.6
Russian Federation,RUS,2009.0,39.8
Sudan,SDN,2009.0,35.4
El Salvador,SLV,2009.0,45.8
Serbia,SRB,2009.0,28.0
South Sudan,SSD,2009.0,46.3
Slovak Republic,SVK,2009.0,27.2
Slovenia,SVN,2009.0,24.8
Sweden,SWE,2009.0,27.3
Eswatini,SWZ,2009.0,51.4
Syrian Arab Republic,SYR,2009.0,40.4
Thailand,THA,2009.0,39.6
Tajikistan,TJK,2009.0,30.8
Tonga,TON,2009.0,37.5
Turkiye,TUR,2009.0,39.0
Uganda,UGA,2009.0,44.2
Ukraine,UKR,2009.0,25.3
Uruguay,URY,2009.0,45.5
United States,USA,2009.0,40.8
Kosovo,XKX,2009.0,31.8
Argentina,ARG,2010.0,43.7
Armenia,ARM,2010.0,30.0
Australia,AUS,2010.0,34.7
Austria,AUT,2010.0,30.3
Belgium,BEL,2010.0,28.4
Bangladesh,BGD,2010.0,32.1
Bulgaria,BGR,2010.0,35.7
Belarus,BLR,2010.0,28.6
Canada,CAN,2010.0,33.6
Switzerland,CHE,2010.0,32.6
China,CHN,2010.0,43.7
Colombia,COL,2010.0,54.6
Costa Rica,CRI,2010.0,48.0
Cyprus,CYP,2010.0,31.5
Czechia,CZE,2010.0,26.6
Germany,DEU,2010.0,30.2
Denmark,DNK,2010.0,27.2
Dominican Republic,DOM,2010.0,47.3
Ecuador,ECU,2010.0,48.8
"Egypt, Arab Rep.",EGY,2010.0,30.2
Spain,ESP,2010.0,35.2
Estonia,EST,2010.0,32.0
Ethiopia,ETH,2010.0,33.2
Finland,FIN,2010.0,27.7
France,FRA,2010.0,33.7
United Kingdom,GBR,2010.0,33.7
Georgia,GEO,2010.0,39.5
"Gambia, The",GMB,2010.0,43.6
Guinea-Bissau,GNB,2010.0,50.6
Greece,GRC,2010.0,34.1
Honduras,HND,2010.0,53.1
Croatia,HRV,2010.0,32.4
Hungary,HUN,2010.0,29.4
Indonesia,IDN,2010.0,34.6
Ireland,IRL,2010.0,32.3
Iceland,ISL,2010.0,26.2
Israel,ISR,2010.0,42.6
Italy,ITA,2010.0,34.7
Jordan,JOR,2010.0,33.7
Japan,JPN,2010.0,31.5
Kazakhstan,KAZ,2010.0,28.0
Kyrgyz Republic,KGZ,2010.0,30.1
"Korea, Rep.",KOR,2010.0,32.0
Lithuania,LTU,2010.0,33.6
Luxembourg,LUX,2010.0,30.5
Latvia,LVA,2010.0,35.0
Moldova,MDA,2010.0,32.1
Madagascar,MDG,2010.0,42.4
Mexico,MEX,2010.0,47.7
North Macedonia,MKD,2010.0,40.1
Malta,MLT,2010.0,29.0
Montenegro,MNE,2010.0,28.9
Mongolia,MNG,2010.0,33.1
Malawi,MWI,2010.0,45.5
Nigeria,NGA,2010.0,35.7
Netherlands,NLD,2010.0,27.8
Norway,NOR,2010.0,25.7
Nepal,NPL,2010.0,32.8
Pakistan,PAK,2010.0,28.8
Panama,PAN,2010.0,51.6
Peru,PER,2010.0,45.5
Poland,POL,2010.0,33.2
Portugal,PRT,2010.0,35.8
Paraguay,PRY,2010.0,51.0
West Bank and Gaza,PSE,2010.0,35.3
Romania,ROU,2010.0,35.5
Russian Federation,RUS,2010.0,39.5
Rwanda,RWA,2010.0,47.2
El Salvador,SLV,2010.0,43.5
Serbia,SRB,2010.0,29.0
Sao Tome and Principe,STP,2010.0,30.8
Slovak Republic,SVK,2010.0,27.3
Slovenia,SVN,2010.0,24.9
Sweden,SWE,2010.0,27.7
Thailand,THA,2010.0,39.4
Tunisia,TUN,2010.0,38.5
Turkiye,TUR,2010.0,38.8
Tuvalu,TUV,2010.0,39.1
Ukraine,UKR,2010.0,24.8
Uruguay,URY,2010.0,44.5
United States,USA,2010.0,40.2
Viet Nam,VNM,2010.0,39.3
Vanuatu,VUT,2010.0,37.4
Kosovo,XKX,2010.0,33.3
South Africa,ZAF,2010.0,63.4
Zambia,ZMB,2010.0,52.0
Argentina,ARG,2011.0,42.7
Armenia,ARM,2011.0,29.4
Austria,AUT,2011.0,30.8
Belgium,BEL,2011.0,28.1
Benin,BEN,2011.0,43.4
Bulgaria,BGR,2011.0,34.3
Bosnia and Herzegovina,BIH,2011.0,33.0
Belarus,BLR,2011.0,27.2
Bolivia,BOL,2011.0,46.1
Brazil,BRA,2011.0,52.9
Canada,CAN,2011.0,32.7
Switzerland,CHE,2011.0,31.7
Chile,CHL,2011.0,46.9
China,CHN,2011.0,42.4
"Congo, Rep.",COG,2011.0,48.9
Colombia,COL,2011.0,53.5
Costa Rica,CRI,2011.0,48.8
Cyprus,CYP,2011.0,32.6
Czechia,CZE,2011.0,26.4
Germany,DEU,2011.0,30.6
Denmark,DNK,2011.0,27.3
Dominican Republic,DOM,2011.0,47.7
Algeria,DZA,2011.0,27.6
Ecuador,ECU,2011.0,45.9
Spain,ESP,2011.0,35.7
Estonia,EST,2011.0,32.5
Finland,FIN,2011.0,27.6
France,FRA,2011.0,33.3
United Kingdom,GBR,2011.0,33.2
Georgia,GEO,2011.0,39.6
Greece,GRC,2011.0,34.8
Honduras,HND,2011.0,52.6
Croatia,HRV,2011.0,32.3
Hungary,HUN,2011.0,29.2
Indonesia,IDN,2011.0,37.9
India,IND,2011.0,28.8
Ireland,IRL,2011.0,32.9
"Iran, Islamic Rep.",IRN,2011.0,34.7
Iceland,ISL,2011.0,26.8
Israel,ISR,2011.0,41.4
Italy,ITA,2011.0,35.1
Japan,JPN,2011.0,33.0
Kazakhstan,KAZ,2011.0,28.0
Kyrgyz Republic,KGZ,2011.0,27.8
Lebanon,LBN,2011.0,31.8
Lithuania,LTU,2011.0,32.5
Luxembourg,LUX,2011.0,32.1
Latvia,LVA,2011.0,35.8
Moldova,MDA,2011.0,30.6
North Macedonia,MKD,2011.0,39.4
Malta,MLT,2011.0,29.1
Montenegro,MNE,2011.0,30.8
Mongolia,MNG,2011.0,33.9
Malaysia,MYS,2011.0,43.9
Niger,NER,2011.0,31.5
Netherlands,NLD,2011.0,27.8
Norway,NOR,2011.0,25.3
Pakistan,PAK,2011.0,29.7
Panama,PAN,2011.0,51.3
Peru,PER,2011.0,44.7
Poland,POL,2011.0,33.2
Portugal,PRT,2011.0,36.3
Paraguay,PRY,2011.0,52.3
West Bank and Gaza,PSE,2011.0,34.4
Romania,ROU,2011.0,35.9
Russian Federation,RUS,2011.0,39.7
Senegal,SEN,2011.0,40.3
Sierra Leone,SLE,2011.0,34.0
El Salvador,SLV,2011.0,42.3
Slovak Republic,SVK,2011.0,26.5
Slovenia,SVN,2011.0,24.9
Sweden,SWE,2011.0,27.6
Chad,TCD,2011.0,43.3
Togo,TGO,2011.0,46.0
Thailand,THA,2011.0,37.5
Turkiye,TUR,2011.0,40.0
Tanzania,TZA,2011.0,37.8
Ukraine,UKR,2011.0,24.6
Uruguay,URY,2011.0,42.2
United States,USA,2011.0,41.2
Kosovo,XKX,2011.0,27.8
Zimbabwe,ZWE,2011.0,43.2
Albania,ALB,2012.0,29.0
Argentina,ARG,2012.0,41.4
Armenia,ARM,2012.0,29.6
Austria,AUT,2012.0,30.5
Belgium,BEL,2012.0,27.5
Bulgaria,BGR,2012.0,36.0
Belarus,BLR,2012.0,26.5
Bolivia,BOL,2012.0,46.6
Brazil,BRA,2012.0,53.4
Bhutan,BTN,2012.0,38.8
Canada,CAN,2012.0,33.5
Switzerland,CHE,2012.0,31.6
China,CHN,2012.0,42.2
"Congo, Dem. Rep.",COD,2012.0,42.1
Colombia,COL,2012.0,52.6
Costa Rica,CRI,2012.0,48.4
Cyprus,CYP,2012.0,34.3
Czechia,CZE,2012.0,26.1
Germany,DEU,2012.0,31.1
Djibouti,DJI,2012.0,45.1
Denmark,DNK,2012.0,27.8
Dominican Republic,DOM,2012.0,46.1
Ecuador,ECU,2012.0,46.1
"Egypt, Arab Rep.",EGY,2012.0,28.3
Spain,ESP,2012.0,35.4
Estonia,EST,2012.0,32.9
Finland,FIN,2012.0,27.1
France,FRA,2012.0,33.1
United Kingdom,GBR,2012.0,33.1
Georgia,GEO,2012.0,39.0
Ghana,GHA,2012.0,42.4
Guinea,GIN,2012.0,33.7
Greece,GRC,2012.0,36.3
Honduras,HND,2012.0,53.4
Croatia,HRV,2012.0,32.5
Haiti,HTI,2012.0,41.1
Hungary,HUN,2012.0,30.8
Indonesia,IDN,2012.0,37.1
Ireland,IRL,2012.0,33.2
"Iran, Islamic Rep.",IRN,2012.0,34.4
Iraq,IRQ,2012.0,29.5
Iceland,ISL,2012.0,26.8
Israel,ISR,2012.0,41.3
Italy,ITA,2012.0,35.2
Japan,JPN,2012.0,32.5
Kazakhstan,KAZ,2012.0,28.2
Kyrgyz Republic,KGZ,2012.0,27.4
"Korea, Rep.",KOR,2012.0,31.6
Lao PDR,LAO,2012.0,36.0
Sri Lanka,LKA,2012.0,38.7
Lithuania,LTU,2012.0,35.1
Luxembourg,LUX,2012.0,34.3
Latvia,LVA,2012.0,35.2
Moldova,MDA,2012.0,29.2
Madagascar,MDG,2012.0,42.6
Mexico,MEX,2012.0,49.6
North Macedonia,MKD,2012.0,38.1
Malta,MLT,2012.0,29.4
