country,country_code,year,gini,Region,income_group
Zambia,ZMB,1996.0,48.3,Sub-Saharan Africa,Lower middle income
Argentina,ARG,1997.0,49.1,Latin America & Caribbean,Upper middle income
Austria,AUT,1997.0,29.1,Europe & Central Asia,High income
Belgium,BEL,1997.0,26.8,Europe & Central Asia,High income
Bulgaria,BGR,1997.0,26.4,Europe & Central Asia,High income
Belize,BLZ,1997.0,60.4,Latin America & Caribbean,Upper middle income
Bolivia,BOL,1997.0,58.1,Latin America & Caribbean,Lower middle income
Brazil,BRA,1997.0,59.8,Latin America & Caribbean,Upper middle income
Canada,CAN,1997.0,33.1,North America,High income
Costa Rica,CRI,1997.0,45.6,Latin America & Caribbean,High income
Germany,DEU,1997.0,28.2,Europe & Central Asia,High income
Dominican Republic,DOM,1997.0,48.9,Latin America & Caribbean,Upper middle income
Spain,ESP,1997.0,35.3,Europe & Central Asia,High income
France,FRA,1997.0,31.9,Europe & Central Asia,High income
United Kingdom,GBR,1997.0,35.7,Europe & Central Asia,High income
Georgia,GEO,1997.0,40.7,Europe & Central Asia,Upper middle income
Honduras,HND,1997.0,52.7,Latin America & Caribbean,Lower middle income
Israel,ISR,1997.0,38.1,Middle East & North Africa,High income
Jordan,JOR,1997.0,36.4,Middle East & North Africa,Lower middle income
Kenya,KEN,1997.0,45.0,Sub-Saharan Africa,Lower middle income
Lao PDR,LAO,1997.0,34.9,East Asia & Pacific,Lower middle income
Luxembourg,LUX,1997.0,29.6,Europe & Central Asia,High income
Latvia,LVA,1997.0,34.4,Europe & Central Asia,High income
Moldova,MDA,1997.0,36.9,Europe & Central Asia,Upper middle income
Madagascar,MDG,1997.0,39.4,Sub-Saharan Africa,Low income
Malawi,MWI,1997.0,65.8,Sub-Saharan Africa,Low income
Malaysia,MYS,1997.0,49.1,East Asia & Pacific,Upper middle income
Panama,PAN,1997.0,58.1,Latin America & Caribbean,High income
Peru,PER,1997.0,53.3,Latin America & Caribbean,Upper middle income
Philippines,PHL,1997.0,46.0,East Asia & Pacific,Lower middle income
Paraguay,PRY,1997.0,54.9,Latin America & Caribbean,Upper middle income
Romania,ROU,1997.0,30.5,Europe & Central Asia,High income
Russian Federation,RUS,1997.0,38.4,Europe & Central Asia,High income
Slovenia,SVN,1997.0,24.1,Europe & Central Asia,High income
Uruguay,URY,1997.0,41.5,Latin America & Caribbean,High income
United States,USA,1997.0,40.5,North America,High income
Viet Nam,VNM,1997.0,35.4,East Asia & Pacific,Lower middle income
Argentina,ARG,1998.0,50.7,Latin America & Caribbean,Upper middle income
Austria,AUT,1998.0,31.3,Europe & Central Asia,High income
Burundi,BDI,1998.0,42.1,Sub-Saharan Africa,Low income
Burkina Faso,BFA,1998.0,49.9,Sub-Saharan Africa,Low income
Belarus,BLR,1998.0,32.0,Europe & Central Asia,Upper middle income
Belize,BLZ,1998.0,54.9,Latin America & Caribbean,Upper middle income
Brazil,BRA,1998.0,59.6,Latin America & Caribbean,Upper middle income
Canada,CAN,1998.0,33.2,North America,High income
Chile,CHL,1998.0,55.5,Latin America & Caribbean,High income
Cote d'Ivoire,CIV,1998.0,39.0,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1998.0,45.6,Latin America & Caribbean,High income
Germany,DEU,1998.0,28.3,Europe & Central Asia,High income
Ecuador,ECU,1998.0,49.6,Latin America & Caribbean,Upper middle income
Spain,ESP,1998.0,34.6,Europe & Central Asia,High income
Estonia,EST,1998.0,37.6,Europe & Central Asia,High income
France,FRA,1998.0,31.7,Europe & Central Asia,High income
United Kingdom,GBR,1998.0,36.6,Europe & Central Asia,High income
Georgia,GEO,1998.0,41.2,Europe & Central Asia,Upper middle income
Ghana,GHA,1998.0,40.1,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,1998.0,48.3,Sub-Saharan Africa,Low income
Guatemala,GTM,1998.0,49.4,Latin America & Caribbean,Upper middle income
Guyana,GUY,1998.0,45.1,Latin America & Caribbean,High income
Honduras,HND,1998.0,57.3,Latin America & Caribbean,Lower middle income
Croatia,HRV,1998.0,28.7,Europe & Central Asia,High income
Hungary,HUN,1998.0,26.4,Europe & Central Asia,High income
Indonesia,IDN,1998.0,30.9,East Asia & Pacific,Upper middle income
"Iran, Islamic Rep.",IRN,1998.0,44.1,Middle East & North Africa,Upper middle income
Italy,ITA,1998.0,36.7,Europe & Central Asia,High income
Kyrgyz Republic,KGZ,1998.0,46.3,Europe & Central Asia,Lower middle income
Lithuania,LTU,1998.0,32.1,Europe & Central Asia,High income
Luxembourg,LUX,1998.0,30.6,Europe & Central Asia,High income
Latvia,LVA,1998.0,33.3,Europe & Central Asia,High income
Morocco,MAR,1998.0,39.4,Middle East & North Africa,Lower middle income
Moldova,MDA,1998.0,39.5,Europe & Central Asia,Upper middle income
Mexico,MEX,1998.0,53.3,Latin America & Caribbean,Upper middle income
North Macedonia,MKD,1998.0,28.1,Europe & Central Asia,Upper middle income
Mongolia,MNG,1998.0,30.3,East Asia & Pacific,Upper middle income
Nicaragua,NIC,1998.0,54.4,Latin America & Caribbean,Lower middle income
Pakistan,PAK,1998.0,33.1,Middle East & North Africa,Lower middle income
Panama,PAN,1998.0,57.3,Latin America & Caribbean,High income
Peru,PER,1998.0,55.1,Latin America & Caribbean,Upper middle income
Poland,POL,1998.0,32.3,Europe & Central Asia,High income
Romania,ROU,1998.0,31.1,Europe & Central Asia,High income
Russian Federation,RUS,1998.0,38.1,Europe & Central Asia,High income
El Salvador,SLV,1998.0,54.4,Latin America & Caribbean,Upper middle income
Slovenia,SVN,1998.0,28.4,Europe & Central Asia,High income
Thailand,THA,1998.0,41.5,East Asia & Pacific,Upper middle income
Turkmenistan,TKM,1998.0,40.8,Europe & Central Asia,Upper middle income
Uruguay,URY,1998.0,42.5,Latin America & Caribbean,High income
United States,USA,1998.0,40.0,North America,High income
Uzbekistan,UZB,1998.0,44.1,Europe & Central Asia,Lower middle income
"Venezuela, RB",VEN,1998.0,48.0,Latin America & Caribbean,
"Yemen, Rep.",YEM,1998.0,35.0,Middle East & North Africa,Low income
Zambia,ZMB,1998.0,49.1,Sub-Saharan Africa,Lower middle income
Argentina,ARG,1999.0,49.8,Latin America & Caribbean,Upper middle income
Armenia,ARM,1999.0,36.2,Europe & Central Asia,Upper middle income
Austria,AUT,1999.0,29.7,Europe & Central Asia,High income
Belarus,BLR,1999.0,31.7,Europe & Central Asia,Upper middle income
Belize,BLZ,1999.0,53.2,Latin America & Caribbean,Upper middle income
Bolivia,BOL,1999.0,58.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1999.0,59.0,Latin America & Caribbean,Upper middle income
Canada,CAN,1999.0,33.1,North America,High income
China,CHN,1999.0,38.7,East Asia & Pacific,Upper middle income
Colombia,COL,1999.0,58.5,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1999.0,47.6,Latin America & Caribbean,High income
Germany,DEU,1999.0,29.0,Europe & Central Asia,High income
Ecuador,ECU,1999.0,58.6,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1999.0,30.8,Middle East & North Africa,Lower middle income
Spain,ESP,1999.0,33.8,Europe & Central Asia,High income
Ethiopia,ETH,1999.0,30.0,Sub-Saharan Africa,
France,FRA,1999.0,32.5,Europe & Central Asia,High income
United Kingdom,GBR,1999.0,36.8,Europe & Central Asia,High income
Georgia,GEO,1999.0,40.1,Europe & Central Asia,Upper middle income
Honduras,HND,1999.0,55.2,Latin America & Caribbean,Lower middle income
Croatia,HRV,1999.0,27.6,Europe & Central Asia,High income
Hungary,HUN,1999.0,30.2,Europe & Central Asia,High income
Indonesia,IDN,1999.0,30.8,East Asia & Pacific,Upper middle income
Jamaica,JAM,1999.0,44.1,Latin America & Caribbean,Upper middle income
Lithuania,LTU,1999.0,32.0,Europe & Central Asia,High income
Luxembourg,LUX,1999.0,30.0,Europe & Central Asia,High income
Moldova,MDA,1999.0,42.6,Europe & Central Asia,Upper middle income
Madagascar,MDG,1999.0,38.6,Sub-Saharan Africa,Low income
Netherlands,NLD,1999.0,28.1,Europe & Central Asia,High income
Panama,PAN,1999.0,56.3,Latin America & Caribbean,High income
Peru,PER,1999.0,54.8,Latin America & Caribbean,Upper middle income
Poland,POL,1999.0,32.3,Europe & Central Asia,High income
Paraguay,PRY,1999.0,54.6,Latin America & Caribbean,Upper middle income
Romania,ROU,1999.0,29.4,Europe & Central Asia,High income
Russian Federation,RUS,1999.0,37.4,Europe & Central Asia,High income
El Salvador,SLV,1999.0,52.1,Latin America & Caribbean,Upper middle income
Suriname,SUR,1999.0,57.5,Latin America & Caribbean,Upper middle income
Slovenia,SVN,1999.0,24.0,Europe & Central Asia,High income
Seychelles,SYC,1999.0,42.8,Sub-Saharan Africa,High income
Thailand,THA,1999.0,43.1,East Asia & Pacific,Upper middle income
Tajikistan,TJK,1999.0,29.5,Europe & Central Asia,Lower middle income
Uganda,UGA,1999.0,43.0,Sub-Saharan Africa,Low income
Ukraine,UKR,1999.0,28.9,Europe & Central Asia,Upper middle income
United States,USA,1999.0,40.0,North America,High income
"Venezuela, RB",VEN,1999.0,47.7,Latin America & Caribbean,
Angola,AGO,2000.0,51.9,Sub-Saharan Africa,Lower middle income
Argentina,ARG,2000.0,51.0,Latin America & Caribbean,Upper middle income
Austria,AUT,2000.0,29.0,Europe & Central Asia,High income
Belgium,BEL,2000.0,33.1,Europe & Central Asia,High income
Bangladesh,BGD,2000.0,33.4,South Asia,Lower middle income
Belarus,BLR,2000.0,31.2,Europe & Central Asia,Upper middle income
Bolivia,BOL,2000.0,61.6,Latin America & Caribbean,Lower middle income
Canada,CAN,2000.0,33.4,North America,High income
Switzerland,CHE,2000.0,33.4,Europe & Central Asia,High income
Chile,CHL,2000.0,52.8,Latin America & Caribbean,High income
Colombia,COL,2000.0,58.4,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,2000.0,47.4,Latin America & Caribbean,High income
Germany,DEU,2000.0,28.9,Europe & Central Asia,High income
Denmark,DNK,2000.0,23.8,Europe & Central Asia,High income
Dominican Republic,DOM,2000.0,51.5,Latin America & Caribbean,Upper middle income
Ecuador,ECU,2000.0,56.3,Latin America & Caribbean,Upper middle income
Spain,ESP,2000.0,34.1,Europe & Central Asia,High income
Estonia,EST,2000.0,35.8,Europe & Central Asia,High income
Finland,FIN,2000.0,27.2,Europe & Central Asia,High income
France,FRA,2000.0,32.6,Europe & Central Asia,High income
United Kingdom,GBR,2000.0,38.8,Europe & Central Asia,High income
Georgia,GEO,2000.0,40.5,Europe & Central Asia,Upper middle income
Greece,GRC,2000.0,34.4,Europe & Central Asia,High income
Guatemala,GTM,2000.0,54.2,Latin America & Caribbean,Upper middle income
Croatia,HRV,2000.0,31.3,Europe & Central Asia,High income
Hungary,HUN,2000.0,27.2,Europe & Central Asia,High income
Indonesia,IDN,2000.0,30.3,East Asia & Pacific,Upper middle income
Ireland,IRL,2000.0,33.0,Europe & Central Asia,High income
Italy,ITA,2000.0,35.2,Europe & Central Asia,High income
Kyrgyz Republic,KGZ,2000.0,31.0,Europe & Central Asia,Lower middle income
Lithuania,LTU,2000.0,31.7,Europe & Central Asia,High income
Luxembourg,LUX,2000.0,30.1,Europe & Central Asia,High income
Morocco,MAR,2000.0,40.6,Middle East & North Africa,Lower middle income
Moldova,MDA,2000.0,36.4,Europe & Central Asia,Upper middle income
Mexico,MEX,2000.0,53.4,Latin America & Caribbean,Upper middle income
North Macedonia,MKD,2000.0,34.3,Europe & Central Asia,Upper middle income
Mauritania,MRT,2000.0,39.0,Sub-Saharan Africa,Lower middle income
Norway,NOR,2000.0,27.4,Europe & Central Asia,High income
Panama,PAN,2000.0,56.6,Latin America & Caribbean,High income
Peru,PER,2000.0,49.1,Latin America & Caribbean,Upper middle income
Philippines,PHL,2000.0,47.7,East Asia & Pacific,Lower middle income
Poland,POL,2000.0,33.0,Europe & Central Asia,High income
Romania,ROU,2000.0,29.3,Europe & Central Asia,High income
Russian Federation,RUS,2000.0,37.1,Europe & Central Asia,High income
Rwanda,RWA,2000.0,48.5,Sub-Saharan Africa,Low income
El Salvador,SLV,2000.0,51.5,Latin America & Caribbean,Upper middle income
Sao Tome and Principe,STP,2000.0,32.1,Sub-Saharan Africa,Lower middle income
Sweden,SWE,2000.0,27.0,Europe & Central Asia,High income
Eswatini,SWZ,2000.0,53.1,Sub-Saharan Africa,Lower middle income
Thailand,THA,2000.0,42.8,East Asia & Pacific,Upper middle income
Tonga,TON,2000.0,37.7,East Asia & Pacific,Upper middle income
Tunisia,TUN,2000.0,40.8,Middle East & North Africa,Lower middle income
Tanzania,TZA,2000.0,37.3,Sub-Saharan Africa,Lower middle income
Uruguay,URY,2000.0,43.4,Latin America & Caribbean,High income
United States,USA,2000.0,40.1,North America,High income
Uzbekistan,UZB,2000.0,35.9,Europe & Central Asia,Lower middle income
South Africa,ZAF,2000.0,57.8,Sub-Saharan Africa,Upper middle income
Argentina,ARG,2001.0,53.3,Latin America & Caribbean,Upper middle income
Armenia,ARM,2001.0,35.4,Europe & Central Asia,Upper middle income
Australia,AUS,2001.0,33.5,East Asia & Pacific,High income
Azerbaijan,AZE,2001.0,36.5,Europe & Central Asia,Upper middle income
Bulgaria,BGR,2001.0,32.7,Europe & Central Asia,High income
Bosnia and Herzegovina,BIH,2001.0,30.0,Europe & Central Asia,Upper middle income
Belarus,BLR,2001.0,30.6,Europe & Central Asia,Upper middle income
Bolivia,BOL,2001.0,57.4,Latin America & Caribbean,Lower middle income
Brazil,BRA,2001.0,58.4,Latin America & Caribbean,Upper middle income
Canada,CAN,2001.0,33.6,North America,High income
Cameroon,CMR,2001.0,42.1,Sub-Saharan Africa,Lower middle income
Colombia,COL,2001.0,57.3,Latin America & Caribbean,Upper middle income
Cabo Verde,CPV,2001.0,52.5,Sub-Saharan Africa,Upper middle income
Costa Rica,CRI,2001.0,51.5,Latin America & Caribbean,High income
Germany,DEU,2001.0,29.9,Europe & Central Asia,High income
Dominican Republic,DOM,2001.0,50.0,Latin America & Caribbean,Upper middle income
Estonia,EST,2001.0,36.0,Europe & Central Asia,High income
France,FRA,2001.0,32.5,Europe & Central Asia,High income
United Kingdom,GBR,2001.0,37.1,Europe & Central Asia,High income
Georgia,GEO,2001.0,39.6,Europe & Central Asia,Upper middle income
Honduras,HND,2001.0,55.4,Latin America & Caribbean,Lower middle income
Croatia,HRV,2001.0,31.1,Europe & Central Asia,High income
Haiti,HTI,2001.0,59.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,2001.0,26.9,Europe & Central Asia,High income
Indonesia,IDN,2001.0,31.2,East Asia & Pacific,Upper middle income
Israel,ISR,2001.0,38.9,Middle East & North Africa,High income
Kazakhstan,KAZ,2001.0,36.0,Europe & Central Asia,Upper middle income
Kyrgyz Republic,KGZ,2001.0,30.2,Europe & Central Asia,Lower middle income
Lithuania,LTU,2001.0,32.0,Europe & Central Asia,High income
Luxembourg,LUX,2001.0,30.9,Europe & Central Asia,High income
Moldova,MDA,2001.0,38.0,Europe & Central Asia,Upper middle income
Madagascar,MDG,2001.0,47.4,Sub-Saharan Africa,Low income
Mali,MLI,2001.0,39.9,Sub-Saharan Africa,Low income
Nicaragua,NIC,2001.0,52.9,Latin America & Caribbean,Lower middle income
Pakistan,PAK,2001.0,28.7,Middle East & North Africa,Lower middle income
Panama,PAN,2001.0,56.7,Latin America & Caribbean,High income
Peru,PER,2001.0,51.3,Latin America & Caribbean,Upper middle income
Poland,POL,2001.0,32.8,Europe & Central Asia,High income
Paraguay,PRY,2001.0,54.6,Latin America & Caribbean,Upper middle income
Romania,ROU,2001.0,29.4,Europe & Central Asia,High income
Russian Federation,RUS,2001.0,36.9,Europe & Central Asia,High income
Senegal,SEN,2001.0,41.2,Sub-Saharan Africa,Lower middle income
El Salvador,SLV,2001.0,51.3,Latin America & Caribbean,Upper middle income
Sweden,SWE,2001.0,26.5,Europe & Central Asia,High income
Timor-Leste,TLS,2001.0,35.9,East Asia & Pacific,Lower middle income
Uruguay,URY,2001.0,45.0,Latin America & Caribbean,High income
United States,USA,2001.0,40.6,North America,High income
"Venezuela, RB",VEN,2001.0,47.2,Latin America & Caribbean,
Albania,ALB,2002.0,31.7,Europe & Central Asia,Upper middle income
Argentina,ARG,2002.0,53.8,Latin America & Caribbean,Upper middle income
Armenia,ARM,2002.0,34.8,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,2002.0,25.3,Europe & Central Asia,Upper middle income
Belarus,BLR,2002.0,30.3,Europe & Central Asia,Upper middle income
Bolivia,BOL,2002.0,59.3,Latin America & Caribbean,Lower middle income
Brazil,BRA,2002.0,58.1,Latin America & Caribbean,Upper middle income
Botswana,BWA,2002.0,61.5,Sub-Saharan Africa,Upper middle income
Canada,CAN,2002.0,33.6,North America,High income
Switzerland,CHE,2002.0,31.7,Europe & Central Asia,High income
China,CHN,2002.0,42.0,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,2002.0,41.3,Sub-Saharan Africa,Lower middle income
Colombia,COL,2002.0,56.0,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,2002.0,51.8,Latin America & Caribbean,High income
Czechia,CZE,2002.0,26.6,Europe & Central Asia,High income
Germany,DEU,2002.0,29.8,Europe & Central Asia,High income
Djibouti,DJI,2002.0,40.0,Middle East & North Africa,Lower middle income
Dominican Republic,DOM,2002.0,49.7,Latin America & Caribbean,Upper middle income
Estonia,EST,2002.0,35.8,Europe & Central Asia,High income
Fiji,FJI,2002.0,38.1,East Asia & Pacific,Upper middle income
France,FRA,2002.0,31.8,Europe & Central Asia,High income
United Kingdom,GBR,2002.0,35.1,Europe & Central Asia,High income
Georgia,GEO,2002.0,37.2,Europe & Central Asia,Upper middle income
Guinea,GIN,2002.0,43.0,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,GNB,2002.0,35.6,Sub-Saharan Africa,Low income
Greece,GRC,2002.0,35.5,Europe & Central Asia,High income
Honduras,HND,2002.0,55.7,Latin America & Caribbean,Lower middle income
Hungary,HUN,2002.0,26.8,Europe & Central Asia,High income
Indonesia,IDN,2002.0,30.2,East Asia & Pacific,Upper middle income
Ireland,IRL,2002.0,32.3,Europe & Central Asia,High income
Israel,ISR,2002.0,39.6,Middle East & North Africa,High income
Italy,ITA,2002.0,34.7,Europe & Central Asia,High income
Jamaica,JAM,2002.0,48.3,Latin America & Caribbean,Upper middle income
Jordan,JOR,2002.0,37.0,Middle East & North Africa,Lower middle income
Kazakhstan,KAZ,2002.0,34.8,Europe & Central Asia,Upper middle income
Kyrgyz Republic,KGZ,2002.0,30.3,Europe & Central Asia,Lower middle income
Lao PDR,LAO,2002.0,32.6,East Asia & Pacific,Lower middle income
Sri Lanka,LKA,2002.0,40.2,South Asia,Lower middle income
Lesotho,LSO,2002.0,51.2,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,2002.0,31.9,Europe & Central Asia,High income
Luxembourg,LUX,2002.0,31.1,Europe & Central Asia,High income
Latvia,LVA,2002.0,35.1,Europe & Central Asia,High income
Moldova,MDA,2002.0,35.8,Europe & Central Asia,Upper middle income
Maldives,MDV,2002.0,41.3,South Asia,Upper middle income
Mexico,MEX,2002.0,50.6,Latin America & Caribbean,Upper middle income
North Macedonia,MKD,2002.0,38.5,Europe & Central Asia,Upper middle income
Mongolia,MNG,2002.0,32.9,East Asia & Pacific,Upper middle income
Mozambique,MOZ,2002.0,46.9,Sub-Saharan Africa,Low income
Panama,PAN,2002.0,56.1,Latin America & Caribbean,High income
Peru,PER,2002.0,53.6,Latin America & Caribbean,Upper middle income
Poland,POL,2002.0,34.1,Europe & Central Asia,High income
Paraguay,PRY,2002.0,57.3,Latin America & Caribbean,Upper middle income
Romania,ROU,2002.0,30.2,Europe & Central Asia,High income
Russian Federation,RUS,2002.0,37.3,Europe & Central Asia,High income
El Salvador,SLV,2002.0,51.9,Latin America & Caribbean,Upper middle income
Serbia,SRB,2002.0,32.7,Europe & Central Asia,Upper middle income
Slovenia,SVN,2002.0,29.1,Europe & Central Asia,High income
Sweden,SWE,2002.0,26.2,Europe & Central Asia,High income
Thailand,THA,2002.0,41.9,East Asia & Pacific,Upper middle income
Turkiye,TUR,2002.0,41.4,Europe & Central Asia,Upper middle income
Uganda,UGA,2002.0,45.2,Sub-Saharan Africa,Low income
Ukraine,UKR,2002.0,29.0,Europe & Central Asia,Upper middle income
Uruguay,URY,2002.0,45.5,Latin America & Caribbean,High income
United States,USA,2002.0,40.4,North America,High income
Uzbekistan,UZB,2002.0,33.0,Europe & Central Asia,Lower middle income
"Venezuela, RB",VEN,2002.0,48.9,Latin America & Caribbean,
Viet Nam,VNM,2002.0,37.0,East Asia & Pacific,Lower middle income
Samoa,WSM,2002.0,40.7,East Asia & Pacific,Upper middle income
Zambia,ZMB,2002.0,42.1,Sub-Saharan Africa,Lower middle income
Argentina,ARG,2003.0,51.0,Latin America & Caribbean,Upper middle income
Armenia,ARM,2003.0,33.0,Europe & Central Asia,Upper middle income
Australia,AUS,2003.0,33.5,East Asia & Pacific,High income
Austria,AUT,2003.0,29.5,Europe & Central Asia,High income
Azerbaijan,AZE,2003.0,26.8,Europe & Central Asia,Upper middle income
Belgium,BEL,2003.0,28.1,Europe & Central Asia,High income
Benin,BEN,2003.0,38.6,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,2003.0,43.3,Sub-Saharan Africa,Low income
Bulgaria,BGR,2003.0,28.9,Europe & Central Asia,High income
Belarus,BLR,2003.0,28.8,Europe & Central Asia,Upper middle income
Brazil,BRA,2003.0,57.6,Latin America & Caribbean,Upper middle income
Bhutan,BTN,2003.0,40.9,South Asia,Lower middle income
Canada,CAN,2003.0,33.8,North America,High income
Chile,CHL,2003.0,51.5,Latin America & Caribbean,High income
Colombia,COL,2003.0,53.6,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,2003.0,49.3,Latin America & Caribbean,High income
Germany,DEU,2003.0,29.8,Europe & Central Asia,High income
Denmark,DNK,2003.0,25.6,Europe & Central Asia,High income
Dominican Republic,DOM,2003.0,52.1,Latin America & Caribbean,Upper middle income
Ecuador,ECU,2003.0,53.5,Latin America & Caribbean,Upper middle income
Spain,ESP,2003.0,31.8,Europe & Central Asia,High income
Estonia,EST,2003.0,37.2,Europe & Central Asia,High income
Finland,FIN,2003.0,27.7,Europe & Central Asia,High income
France,FRA,2003.0,31.4,Europe & Central Asia,High income
United Kingdom,GBR,2003.0,34.9,Europe & Central Asia,High income
Georgia,GEO,2003.0,36.6,Europe & Central Asia,Upper middle income
"Gambia, The",GMB,2003.0,47.3,Sub-Saharan Africa,Low income
Greece,GRC,2003.0,32.8,Europe & Central Asia,High income
Honduras,HND,2003.0,58.1,Latin America & Caribbean,Lower middle income
Hungary,HUN,2003.0,30.9,Europe & Central Asia,High income
Indonesia,IDN,2003.0,29.3,East Asia & Pacific,Upper middle income
Ireland,IRL,2003.0,32.9,Europe & Central Asia,High income
Iceland,ISL,2003.0,26.8,Europe & Central Asia,High income
Israel,ISR,2003.0,40.7,Middle East & North Africa,High income
Italy,ITA,2003.0,34.9,Europe & Central Asia,High income
Kazakhstan,KAZ,2003.0,33.7,Europe & Central Asia,Upper middle income
Kyrgyz Republic,KGZ,2003.0,28.7,Europe & Central Asia,Lower middle income
Lithuania,LTU,2003.0,35.5,Europe & Central Asia,High income
Luxembourg,LUX,2003.0,30.2,Europe & Central Asia,High income
Latvia,LVA,2003.0,36.5,Europe & Central Asia,High income
Moldova,MDA,2003.0,34.9,Europe & Central Asia,Upper middle income
North Macedonia,MKD,2003.0,38.7,Europe & Central Asia,Upper middle income
Malaysia,MYS,2003.0,46.4,East Asia & Pacific,Upper middle income
Namibia,NAM,2003.0,63.3,Sub-Saharan Africa,Lower middle income
Nigeria,NGA,2003.0,40.1,Sub-Saharan Africa,Lower middle income
Norway,NOR,2003.0,27.6,Europe & Central Asia,High income
Nepal,NPL,2003.0,43.8,South Asia,Lower middle income
Panama,PAN,2003.0,55.6,Latin America & Caribbean,High income
Peru,PER,2003.0,53.1,Latin America & Caribbean,Upper middle income
Philippines,PHL,2003.0,46.6,East Asia & Pacific,Lower middle income
Poland,POL,2003.0,34.9,Europe & Central Asia,High income
Portugal,PRT,2003.0,38.8,Europe & Central Asia,High income
Paraguay,PRY,2003.0,54.9,Latin America & Caribbean,Upper middle income
Romania,ROU,2003.0,29.9,Europe & Central Asia,High income
Russian Federation,RUS,2003.0,40.0,Europe & Central Asia,High income
Sierra Leone,SLE,2003.0,40.2,Sub-Saharan Africa,Low income
El Salvador,SLV,2003.0,50.4,Latin America & Caribbean,Upper middle income
Serbia,SRB,2003.0,32.8,Europe & Central Asia,Upper middle income
Slovenia,SVN,2003.0,30.9,Europe & Central Asia,High income
Sweden,SWE,2003.0,25.3,Europe & Central Asia,High income
Syrian Arab Republic,SYR,2003.0,37.5,Middle East & North Africa,Low income
Chad,TCD,2003.0,39.8,Sub-Saharan Africa,Low income
Tajikistan,TJK,2003.0,32.7,Europe & Central Asia,Lower middle income
Turkiye,TUR,2003.0,42.2,Europe & Central Asia,Upper middle income
Ukraine,UKR,2003.0,28.7,Europe & Central Asia,Upper middle income
Uruguay,URY,2003.0,45.0,Latin America & Caribbean,High income
United States,USA,2003.0,40.8,North America,High income
Uzbekistan,UZB,2003.0,35.2,Europe & Central Asia,Lower middle income
"Venezuela, RB",VEN,2003.0,47.9,Latin America & Caribbean,
Kosovo,XKX,2003.0,29.0,Europe & Central Asia,Upper middle income
Argentina,ARG,2004.0,48.5,Latin America & Caribbean,Upper middle income
Armenia,ARM,2004.0,37.5,Europe & Central Asia,Upper middle income
Australia,AUS,2004.0,33.1,East Asia & Pacific,High income
Austria,AUT,2004.0,29.8,Europe & Central Asia,High income
Azerbaijan,AZE,2004.0,26.6,Europe & Central Asia,Upper middle income
Belgium,BEL,2004.0,30.5,Europe & Central Asia,High income
Bosnia and Herzegovina,BIH,2004.0,34.0,Europe & Central Asia,Upper middle income
Belarus,BLR,2004.0,26.5,Europe & Central Asia,Upper middle income
Bolivia,BOL,2004.0,55.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,2004.0,56.5,Latin America & Caribbean,Upper middle income
Canada,CAN,2004.0,33.8,North America,High income
Switzerland,CHE,2004.0,31.6,Europe & Central Asia,High income
"Congo, Dem. Rep.",COD,2004.0,41.6,Sub-Saharan Africa,Low income
Colombia,COL,2004.0,55.0,Latin America & Caribbean,Upper middle income
Comoros,COM,2004.0,55.9,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,2004.0,48.4,Latin America & Caribbean,High income
Cyprus,CYP,2004.0,30.1,Europe & Central Asia,High income
Czechia,CZE,2004.0,27.5,Europe & Central Asia,High income
Germany,DEU,2004.0,30.2,Europe & Central Asia,High income
Denmark,DNK,2004.0,24.9,Europe & Central Asia,High income
Dominican Republic,DOM,2004.0,52.1,Latin America & Caribbean,Upper middle income
Ecuador,ECU,2004.0,53.9,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,2004.0,31.8,Middle East & North Africa,Lower middle income
Spain,ESP,2004.0,33.3,Europe & Central Asia,High income
Estonia,EST,2004.0,33.6,Europe & Central Asia,High income
Ethiopia,ETH,2004.0,29.8,Sub-Saharan Africa,
Finland,FIN,2004.0,27.9,Europe & Central Asia,High income
France,FRA,2004.0,30.6,Europe & Central Asia,High income
United Kingdom,GBR,2004.0,34.8,Europe & Central Asia,High income
Georgia,GEO,2004.0,36.2,Europe & Central Asia,Upper middle income
Greece,GRC,2004.0,33.6,Europe & Central Asia,High income
Honduras,HND,2004.0,58.1,Latin America & Caribbean,Lower middle income
Croatia,HRV,2004.0,29.7,Europe & Central Asia,High income
Hungary,HUN,2004.0,29.9,Europe & Central Asia,High income
